age,salary,sex
41,48325.41157,0
51,43775.32719,1
79,62065.4876,1
45,45805.44647,1
85,69441.9657,0
49,54186.36894,0
48,46012.02492,0
86,86157.60233,1
41,46243.23328,1
61,56376.32475,0
20,27805.53509,1
57,40175.84613,1
85,64565.4515,1
89,75632.55965,1
59,46369.61758,1
89,63884.33919,1
80,59578.21508,0
42,50780.72949,0
34,39054.82074,0
24,29381.15098,1
73,68418.5496,1
34,42165.44232,1
65,53565.315,1
62,41253.95183,1
23,28536.16983,1
87,84366.00898,0
38,34764.41597,0
65,47105.80918,0
57,47712.63553,1
37,35391.37708,0
50,40402.48258,1
70,48220.5507,0
33,33721.56074,0
68,45520.73635,0
26,33886.20599,0
44,42107.4677,0
69,62320.57705,0
21,34502.6953,1
53,45616.57313,0
86,66280.53642,0
55,49218.16374,1
86,56001.4461,0
58,57194.83761,0
43,46498.56081,1
55,52770.759,1
24,33347.20496,0
42,36145.61388,1
85,54630.55029,0
65,43856.50486,1
75,49997.13181,0
43,40677.26754,1
75,60246.0115,1
49,37196.15556,0
27,33317.50265,1
46,43159.91106,0
85,54878.24223,0
24,30594.91993,1
45,45724.53132,0
21,28793.52521,0
51,46648.95663,0
70,58690.67013,0
68,61245.18542,1
52,45708.63381,1
55,39260.98905,1
42,46469.04014,1
66,60055.17407,0
59,51775.80019,1
65,39442.4674,0
62,50466.324,0
63,64759.83492,1
74,50884.80987,1
67,46751.22397,0
32,35912.40849,0
81,54997.86327,1
23,36577.47917,0
33,40820.20861,0
88,49289.38729,0
25,33008.16281,0
21,31942.53601,1
20,32985.45215,1
88,62237.61781,0
53,43914.92553,0
76,56107.78693,1
66,52716.18235,0
31,32894.25761,1
88,61458.95841,1
43,43242.83117,1
77,47937.38042,1
54,52400.4524,0
32,41300.37428,0
55,47997.0215,1
50,45756.12297,1
58,34059.02215,0
28,37007.94858,0
87,65689.62229,0
40,37189.86154,1
48,34596.29375,0
30,35796.70118,0
21,28205.64412,0
30,34911.47587,0
88,62651.96924,1
48,57052.47402,1
58,55963.17093,0
42,33672.23316,1
69,67768.5263,0
54,46580.93464,1
79,62984.64214,1
37,42191.93382,1
52,48350.7368,0
34,33282.99427,0
33,35946.01435,1
66,50264.31003,0
29,32641.89761,0
22,35767.02306,1
65,40857.57378,1
60,43296.46422,1
87,65893.45109,0
24,29211.08662,0
60,48650.0035,1
71,56849.61364,0
72,55430.57445,1
85,65373.38405,0
87,45612.82203,1
35,39145.19787,0
26,33061.17411,1
70,65356.73815,1
70,53142.27313,0
84,66205.48141,1
74,48874.84567,0
29,33309.67976,1
64,51762.13527,0
39,41825.16581,0
74,62339.94239,0
20,30459.55163,0
81,51348.30218,1
57,53364.40877,1
26,32328.95811,0
22,30359.237,0
30,39385.14684,1
61,58542.43822,1
74,57009.64547,1
83,74437.73608,1
30,35242.40792,0
35,38283.44303,0
26,31043.96811,0
73,41628.29238,0
75,57989.05384,1
31,36422.35597,0
23,28689.19366,1
26,33945.44873,1
54,43005.59427,1
33,37795.72983,0
57,55823.29206,1
44,40487.22854,0
72,60239.08789,1
25,30748.20704,1
78,56040.02462,0
80,72958.82191,0
83,57790.06642,0
50,54231.86844,1
48,41882.58246,1
73,57867.43298,0
60,59538.68361,1
59,51709.35855,1
31,38389.00078,1
31,41728.32329,1
53,52017.47608,1
64,46218.95525,1
27,34929.2623,1
88,50106.8216,1
81,59718.95224,1
79,67608.32941,1
54,47587.18944,1
78,76478.39693,0
21,29800.07027,1
59,47101.69678,1
50,40000.86224,1
72,61520.58481,0
80,65949.88175,1
75,51794.63297,0
77,58312.61683,0
30,36223.8422,1
56,44613.70348,1
41,40184.38942,1
44,42154.15139,0
30,32059.27012,0
81,65666.04756,1
89,68534.49598,0
67,44796.97208,0
44,42206.02379,0
49,51012.25651,1
45,36965.61943,1
88,48916.45491,0
61,51324.70542,1
28,35442.37436,1
80,51456.8049,1
73,53103.76061,1
84,52687.11638,0
44,42047.59091,0
34,36990.01009,1
50,43870.55236,1
28,30359.95437,0
60,50772.30253,0
56,55627.27855,1
40,44076.2044,1
55,42979.83188,1
76,58698.06111,1
77,66563.86816,0
52,46239.29365,1
49,42305.99551,0
73,58184.93708,1
78,57903.24277,0
50,50414.6496,0
58,55633.97499,0
82,55509.30719,1
57,41644.37232,1
44,41524.64357,1
35,36025.66765,0
86,56232.81311,0
35,34105.4808,1
27,32473.44938,1
30,29640.10436,0
74,76278.9867,0
27,33250.56561,1
47,34424.02847,0
78,59332.97207,1
22,29711.35807,0
71,54895.49999,1
33,32489.86588,0
70,64224.51919,0
65,50663.77092,0
74,61747.33158,1
78,58410.23272,0
84,71555.31235,0
50,40101.68196,1
34,38087.09033,1
42,33180.12074,0
47,44353.17641,1
86,69403.34738,1
27,33923.54607,0
54,49629.40846,1
61,52549.16648,1
32,35236.28185,1
20,31414.82332,1
28,34464.0867,0
31,31070.78375,0
36,37264.89037,0
36,35072.35654,0
65,55261.12532,0
57,58094.23967,0
40,43785.62277,0
33,37872.97968,0
35,34538.71709,1
48,47850.59847,0
54,44605.74214,0
50,43404.54391,1
88,67477.61574,1
31,32751.38968,0
73,52501.52866,1
78,58473.07213,1
21,33679.88577,1
86,59947.55164,0
72,67960.53966,0
21,29740.34197,0
41,35327.36365,0
62,45825.77278,1
49,41834.28391,0
38,39740.08021,1
79,72742.92707,0
78,72313.57215,0
84,54871.42992,0
86,78409.82073,1
40,35519.74343,1
65,46227.88512,1
75,51205.92395,0
80,59171.15452,0
46,35556.42363,1
87,53405.99116,0
85,63692.99013,0
45,45051.2406,1
55,45524.18995,0
38,41877.27718,1
62,45797.82696,0
25,32159.76843,0
49,39583.6728,1
64,55836.74187,0
61,48125.40004,1
46,38704.74664,0
75,66622.13693,1
42,44474.9968,0
87,57483.51152,1
81,72811.7541,0
58,44019.34421,0
29,40490.47496,1
88,68816.21418,0
57,55444.65006,1
49,42841.78456,0
74,45342.15436,0
59,55872.11037,0
20,24117.71098,1
74,46971.75813,0
60,53025.32817,0
23,33635.43302,1
27,28296.21878,1
46,44015.54662,1
23,27652.67193,0
89,55921.16137,1
86,57601.03987,0
87,66441.50945,1
49,48977.425,0
81,56436.56966,1
29,36986.23419,1
73,61706.64113,1
42,41381.24039,1
26,33520.93893,0
79,57639.43956,1
38,39653.98015,1
68,43936.1905,0
24,29788.48725,0
74,60295.23182,0
24,27730.67585,0
88,78289.44707,1
36,38430.96705,1
77,57530.68067,0
22,34059.95567,0
68,73335.67521,1
84,45947.12545,0
74,56989.21665,1
82,66689.60768,0
68,57265.68562,1
28,39273.92666,1
56,46476.90587,0
40,40161.57958,1
78,59678.72259,0
21,27397.93511,1
35,40136.65871,0
46,45825.10816,1
79,51780.13962,1
55,37281.26265,1
25,31778.73824,0
32,38424.23194,1
53,46198.94762,1
41,39173.47898,0
22,29288.34721,0
40,39746.98396,1
29,30785.9652,0
81,62904.35838,1
27,32035.01366,1
51,42592.64371,1
71,57086.04129,0
58,51782.66941,0
31,36347.77961,0
44,47814.11933,1
75,60264.6856,0
49,51101.83481,1
31,35385.23703,1
86,70441.65142,0
68,52601.03788,0
85,63515.94834,1
89,59946.31038,0
51,45884.26386,1
44,41401.60179,0
87,68233.16682,1
22,26822.49829,0
38,42660.13439,1
41,37305.52886,1
71,55854.41403,1
35,42599.50607,1
30,37534.16042,1
35,39005.68093,0
36,38432.63779,0
36,36942.41614,0
44,43530.51013,0
74,62588.5526,0
35,37990.67558,1
87,47644.51497,0
22,29825.43315,0
75,61249.47757,1
26,29592.11435,1
48,46869.57582,0
71,56853.29485,0
84,63942.26648,0
36,36337.3548,0
20,29620.70131,0
71,54366.29929,0
56,57337.22284,1
28,31647.98934,0
47,46742.42516,1
80,51404.55015,0
41,43013.16425,0
71,44037.76729,0
52,48050.45815,1
83,71135.02549,1
45,44371.98238,0
37,38137.53058,1
30,40044.51056,0
62,58686.03326,0
38,35783.0772,1
45,42662.88596,0
30,37724.42264,1
29,36918.09371,1
80,53341.73351,0
23,34630.53515,1
67,43368.75996,0
83,66690.66427,1
25,30770.03752,1
88,63093.15691,1
52,49546.38696,0
78,62723.04818,0
53,43123.01339,0
33,40512.57435,1
39,38244.09838,0
64,52881.46251,0
24,31200.93081,1
45,38069.14088,1
35,43401.87241,1
60,46226.42734,1
77,56270.84263,1
59,50055.81871,1
33,35030.85233,0
81,63648.581,0
24,32097.96053,0
89,61748.50356,1
89,58455.03588,0
77,77371.80521,0
30,31920.80647,0
58,50204.71393,0
81,43674.43828,0
43,42541.26619,1
87,77112.48665,0
85,64099.91599,0
73,54059.50188,0
60,48664.69594,0
25,35089.20066,1
74,63949.64797,1
67,61212.26631,1
21,33889.43089,0
58,46037.04917,0
31,34247.95348,1
72,57969.17149,1
34,34836.77203,0
39,40303.78048,0
22,33649.91298,1
71,57988.93488,1
67,51796.85161,0
26,35415.9944,1
48,50786.0664,0
86,56650.52418,0
70,53211.85424,0
29,35718.032,1
82,49409.69953,1
53,55102.8531,0
49,41927.14235,0
65,46241.53178,1
84,69171.37999,1
83,57940.44526,0
53,32831.99029,0
76,69187.43905,0
69,60087.89048,0
53,44350.49355,0
64,49555.43614,1
55,42047.21513,0
41,33863.46215,0
40,49688.87947,0
49,44539.95216,0
87,90656.25329,1
66,58753.78403,0
70,54600.79124,0
38,35996.4073,0
46,48497.69516,1
70,54183.56684,1
35,39766.11254,1
38,38268.4559,0
53,48133.69966,0
67,44978.20603,0
52,42889.40268,0
81,70640.84962,0
48,45915.94043,0
71,58592.24371,0
63,60728.825,1
21,30122.4041,1
87,66994.39988,1
38,45871.28491,1
29,38956.51052,1
56,51722.19294,1
78,66228.44339,0
33,35217.95405,1
81,60274.90784,0
71,57816.62183,1
37,46296.06759,1
44,40402.85348,1
69,54805.67115,0
21,29393.24323,1
41,35543.91056,0
76,59460.7054,0
20,28036.02197,1
83,73158.343,1
43,39397.39963,0
85,61683.75222,0
65,60096.02184,1
80,51159.53898,0
76,61413.55552,0
61,46677.26447,1
21,25536.09519,0
44,48485.29198,0
60,58596.23681,0
64,55311.73532,0
52,39728.44586,1
39,37662.70027,1
79,71061.62011,0
37,47188.07804,1
70,62994.99193,1
86,53805.52484,1
43,40402.34093,0
85,62244.04886,1
27,27532.3022,0
89,60336.93718,1
44,46841.45079,0
43,38667.15683,1
63,49392.25626,0
47,46877.22598,1
56,48851.22461,0
69,43367.4948,0
78,59998.42076,0
31,30990.8717,0
67,51396.8306,0
71,51625.49286,0
89,71339.8061,0
48,46586.70826,0
66,62268.30682,0
81,60223.66793,1
73,64046.20139,1
59,42496.69373,1
51,42790.83041,1
33,35220.97331,1
58,53154.6787,0
77,63072.8938,0
65,50326.50836,1
76,53792.25281,0
57,41182.29114,1
46,43814.31872,0
50,35269.36142,1
60,56312.42553,1
36,44877.45001,1
28,36261.84363,1
40,38335.59849,0
26,32768.63796,0
88,78512.28544,1
23,26529.94928,0
62,46707.06471,1
20,30004.38253,1
45,40023.41022,1
29,39832.01459,1
31,41114.72697,0
80,50773.76985,1
54,47835.43861,1
30,37454.3921,0
49,42344.4753,0
25,33807.33948,1
49,35660.12503,1
85,81880.32863,1
65,44246.73728,0
47,43108.28157,1
76,52605.44205,1
41,42552.01009,1
62,53124.53544,1
62,46700.92297,1
22,28973.74604,1
48,46247.02427,1
59,54207.47727,0
21,30666.57476,1
68,49846.03865,1
57,48697.21128,1
56,56775.40121,1
24,34317.26439,0
40,43136.0559,1
44,43846.69042,0
89,57660.22164,1
79,64584.88646,1
88,60152.5505,0
66,39735.11242,1
24,30160.87081,0
78,57458.22551,0
83,71450.11679,1
52,38993.21465,0
57,48800.69443,1
50,46928.9387,0
44,44850.22419,0
48,42814.00987,0
46,39295.72422,0
54,53197.19637,0
82,56120.09386,0
87,72056.47845,0
71,48194.08141,0
43,34516.55975,1
33,40553.52074,1
42,43916.45416,1
58,52108.40709,1
52,48610.45638,1
75,64409.59008,0
48,53685.46746,0
83,66504.10757,0
22,32921.95032,1
62,41235.64421,0
66,53048.6369,1
61,47979.43002,1
48,44473.52226,0
45,44591.25489,0
44,37355.46238,0
50,50372.52123,0
51,45947.91342,0
55,39106.22862,1
61,57560.60318,0
89,79427.78794,1
64,55325.07036,0
62,55765.44437,0
36,41086.06397,1
67,49501.35276,1
35,38619.58202,0
56,50941.06955,0
52,45732.29727,0
52,48255.95762,1
69,53679.57977,0
82,57609.69165,0
68,38479.42755,1
22,32568.78431,1
73,47418.01964,0
64,54752.45922,1
28,30227.22673,0
62,37174.79842,0
57,52981.20615,1
26,33563.40871,1
57,46493.065,1
56,35320.59552,0
85,64900.96658,1
76,78680.45309,1
72,72525.71348,0
81,53064.59849,0
86,61754.45551,0
54,44595.29052,1
89,56409.92953,0
82,54667.74239,1
63,52083.4993,1
71,53029.09813,1
23,32323.49934,0
52,46220.80651,1
63,54444.25826,0
60,47233.12462,1
81,63206.10373,0
47,49183.2487,0
50,39028.06108,0
52,36529.02188,0
47,43766.27542,1
67,65265.12348,0
43,38294.94907,1
85,68841.10311,1
44,28312.34047,0
87,56388.10416,0
83,43579.78717,1
35,36085.95129,1
28,33576.96231,1
77,70429.25436,1
38,39333.06239,0
51,47486.76383,0
36,38189.75082,0
24,31969.35559,1
39,31269.30677,1
56,52644.21741,0
59,47104.60309,0
36,44123.77941,0
84,59533.97107,1
69,51744.13753,0
30,36862.19086,0
49,52123.93237,1
87,74369.49904,0
67,41963.95002,0
20,27791.36027,0
57,50474.29079,1
81,71471.13542,0
57,37280.00875,1
36,42787.26956,0
38,33989.8851,1
59,54279.98011,0
51,53008.92077,0
76,64981.61887,1
35,38808.80563,1
36,42381.34366,0
59,51971.26749,0
28,34642.86522,0
46,44460.57426,0
44,37274.53227,1
37,36385.72001,0
64,45627.55621,1
79,64771.10018,1
32,35921.95298,1
73,62522.74819,0
49,40980.10257,1
32,37617.11959,1
59,57210.98304,1
77,49035.28854,0
44,42113.52488,0
83,59213.86601,1
22,25901.54975,1
50,49713.04289,1
50,37509.74967,1
66,62362.28483,0
25,30838.50604,1
68,57796.969,0
51,40206.3599,0
61,48119.51284,0
82,55166.38947,1
25,32813.55332,1
78,67300.50693,0
52,52071.14886,1
70,59633.14029,1
58,49942.19465,1
24,31934.55977,1
75,53718.05489,0
45,26873.88491,0
21,31514.12963,0
48,46406.33024,1
50,33519.61467,1
73,33914.48596,1
38,36267.09718,0
32,33799.80658,0
29,36513.81386,1
82,54020.71736,1
61,61457.13672,1
52,48717.36702,0
58,45021.28205,0
49,48834.63511,0
30,35261.80937,1
38,39373.01827,0
48,41626.53205,1
21,35210.96463,1
31,35228.33364,1
22,31355.09297,1
58,46502.15044,0
24,28783.62744,1
55,49833.5415,1
42,43782.91244,1
88,56358.67681,1
48,47565.3108,1
79,46949.93891,1
29,35879.79926,0
40,45600.31274,0
37,42308.60495,1
50,35751.08659,0
79,52692.90814,1
53,46362.41173,0
86,64082.2818,0
30,37335.32547,0
49,42991.88397,1
89,64808.23258,0
20,29431.65059,1
36,42823.28735,1
88,60779.10531,1
75,57664.76896,0
73,58447.95035,0
37,40298.85971,1
40,42494.50022,1
44,51940.44159,1
41,40015.29831,0
57,45694.75379,0
22,27362.52699,1
85,73309.06055,0
55,44694.55213,0
69,42404.03861,0
46,43027.76096,1
77,67603.06796,1
67,51535.98254,1
46,45433.5501,1
35,37308.4643,1
25,35607.96364,1
33,29334.59345,0
40,44006.51895,0
48,45462.9251,0
77,50269.12659,0
80,79896.23182,1
27,36130.95575,1
62,58642.9519,1
25,30324.46772,0
54,49304.26282,0
30,32552.85372,0
53,46656.32287,1
43,46267.37141,1
52,52338.66647,1
85,79555.28239,0
24,34963.16797,0
47,45734.88772,1
44,42082.38204,0
25,26505.65796,0
67,58529.12316,0
31,38530.0057,0
59,55884.62997,0
34,34900.50534,0
65,50557.47586,0
20,31252.64701,0
85,65386.53641,0
71,52817.22084,0
85,50081.49666,1
67,55172.70221,0
48,43802.74695,0
85,61143.27921,1
82,69047.82065,0
64,51225.34291,0
44,38467.31593,1
68,66580.92853,1
49,38270.34755,1
35,33984.38053,0
43,38687.57356,0
21,30508.44295,0
60,46062.45745,0
38,35014.97706,1
62,53723.84847,1
57,56436.40572,0
55,34771.52408,0
74,62039.23293,1
69,52830.6054,1
71,38394.13963,1
35,34702.6314,1
59,67999.43674,1
89,66996.54356,0
30,36756.07968,0
71,48751.5454,0
59,35951.56997,1
68,52851.1123,1
38,38202.12471,1
83,57816.82045,0
65,53368.66541,0
32,35650.38158,0
57,65026.79664,1
84,66299.20436,1
76,63984.80605,0
29,31012.5496,1
51,45603.57391,1
82,70901.64978,0
88,71247.55935,0
74,49620.40071,1
60,41913.15433,1
25,29977.81612,0
68,45820.7983,0
34,34461.54746,1
65,57545.28587,1
86,49283.03687,0
72,52584.10628,0
54,42598.24955,1
30,28663.48325,0
22,31444.1612,0
60,44170.81919,1
63,59577.60314,1
87,61960.56086,0
59,43224.96537,0
84,57211.52338,0
42,44222.42402,0
78,70133.60103,0
51,39629.27213,1
24,28851.10667,1
45,37097.83735,0
33,38788.41428,0
86,69899.84074,0
41,43675.40649,0
57,40880.60218,0
72,51789.2918,1
56,42459.28038,1
39,43061.95481,1
55,51270.10605,1
86,74701.02495,1
41,38282.86033,0
48,43642.20268,1
82,72225.10857,1
41,41496.10181,0
80,59774.53729,0
60,47102.56505,1
86,56729.54129,1
64,57814.1379,1
61,54969.67927,0
51,51997.03246,0
87,57388.39006,1
44,39664.09292,1
36,42310.73721,0
28,33774.23979,0
73,35031.28892,0
23,24713.6336,1
52,51400.49626,1
58,49512.60357,0
53,53903.00108,1
37,40564.23015,0
39,42857.91438,0
59,53661.30415,1
36,43796.79683,0
38,36068.28166,0
48,44599.41361,0
70,53743.05215,0
77,70591.4832,0
28,35428.54914,0
21,33696.10064,0
85,48614.79103,0
40,34624.18344,1
21,32304.76024,1
38,33426.90014,0
29,35436.9451,1
86,74980.13163,1
58,42270.31559,0
30,37075.74134,0
54,46368.23343,0
54,49258.47314,0
86,71317.865,1
89,49637.52648,1
27,37266.7096,0
70,52521.40739,0
22,32241.57432,0
62,43201.65396,1
23,32943.52076,1
72,52084.02604,1
48,35495.26667,1
71,55860.72258,1
85,70318.56712,0
50,54985.05755,0
70,55094.99362,0
55,42923.14262,0
39,43852.07837,1
56,49846.98008,0
75,55417.89105,0
70,64997.63081,0
35,38943.10381,1
85,47972.308,1
53,49684.8706,1
49,44684.54177,0
33,32966.71251,0
45,37088.06748,1
51,46692.85933,0
58,47469.49593,1
34,35166.92815,1
72,52110.18293,0
40,43934.0265,1
21,28333.58903,0
47,45590.00456,0
85,43422.04938,1
54,44171.67048,1
23,31136.24581,0
78,44907.82621,0
28,34942.79742,1
74,56472.06267,0
38,33246.74264,1
79,59920.08567,0
49,39610.49832,1
85,67128.06383,1
54,55600.18399,0
25,28592.73656,1
76,64685.30411,0
72,60691.10944,1
74,58615.77801,0
89,66027.65373,0
50,41238.86026,0
20,31745.50336,0
61,55394.5503,0
31,34701.01983,0
22,29496.85929,0
24,28894.19618,0
41,42037.08226,1
33,37880.04062,0
26,31763.40257,1
20,32243.55435,1
48,41253.16971,0
55,52599.21721,0
63,46915.07893,1
68,44919.52882,1
43,38283.82932,0
65,54702.57724,0
59,46391.29698,0
38,38687.10724,0
39,39313.41695,0
23,32919.40717,1
31,33590.11726,0
81,59538.4268,0
82,60061.66413,0
50,54295.24432,1
31,35532.43159,1
52,40563.44464,1
25,33691.51011,1
72,73468.51381,1
24,36540.78098,1
50,51677.25835,1
73,59760.76249,0
48,42346.35308,1
54,47667.16238,1
22,33940.99409,1
23,28427.17986,0
88,61379.81458,0
82,71772.47916,0
71,56334.10872,0
67,46424.80199,1
23,31551.10446,0
44,38911.20578,1
41,36389.6222,0
42,46335.82718,1
86,65930.66367,0
21,32993.45774,0
42,40882.0399,0
70,59763.58335,1
30,32417.14042,1
44,45350.37131,1
74,59788.44046,1
77,53922.48081,0
85,49493.93212,1
43,32154.96555,0
24,35775.38411,0
58,38204.12804,0
27,35863.10114,1
49,47133.58177,1
22,33282.78826,0
36,31164.76042,1
88,72387.90969,0
54,44396.24428,1
61,57033.88179,1
43,49108.08247,1
24,30822.00051,1
49,49939.40849,1
48,40321.70567,0
40,43955.78097,0
60,52044.04473,1
55,49527.44702,1
75,59959.81156,1
30,34264.23926,1
55,41820.46619,1
67,58791.19983,0
28,32021.79264,1
75,61021.99883,1
38,37255.32972,1
37,35674.23354,1
23,36047.17858,1
47,35363.93236,0
54,44594.60359,0
75,64052.66511,0
21,29801.02478,1
32,28985.72704,1
75,61011.31681,0
74,64975.65075,1
40,32982.89481,0
81,51532.92153,1
30,39305.59767,0
43,31009.42433,1
24,32146.49919,0
51,42562.76263,1
58,48695.04657,1
44,43431.13457,1
59,57758.0416,0
45,35739.40621,1
72,60063.55071,1
42,41054.32522,0
88,69861.22734,0
42,40140.64048,0
34,37556.11068,1
56,44017.881,0
85,54853.41484,0
45,49450.99392,0
57,55948.28829,0
23,31512.53444,0
61,54536.8888,1
65,63703.12636,1
47,46360.25085,1
47,44014.52313,0
85,76662.96892,1
46,42638.02922,0
77,57972.65332,1
45,48278.91186,1
47,48873.2654,1
47,43852.94523,0
35,29570.06102,0
40,35960.50435,1
51,43535.74453,0
67,53115.87689,1
26,30121.35885,0
44,38920.91162,1
64,55504.58165,0
21,30710.47576,1
50,43071.62736,1
58,44011.35956,0
60,52639.91685,1
20,29185.33125,0
47,41229.34962,0
49,43521.00494,1
29,30955.65965,0
49,43205.77322,0
66,53115.91085,0
21,30200.51001,1
52,35440.33196,1
68,41414.79705,1
27,36865.52344,1
32,40501.95475,1
69,57648.97943,1
80,50620.87982,1
37,35115.07224,0
61,45039.93344,1
87,70873.28671,0
65,48256.25032,0
53,50617.43007,0
86,59128.70186,0
32,37342.92245,1
89,62092.6262,1
80,45819.6369,1
53,48203.23678,1
21,31242.81712,1
47,43271.47051,1
57,54135.63233,1
79,50479.26906,0
45,43620.4076,0
64,53393.19837,1
64,46872.8505,1
57,54163.8933,0
87,45235.71715,1
86,58612.95023,1
63,47748.42785,1
31,35402.25386,1
89,61642.08737,0
71,52065.91551,0
64,54033.81821,0
82,73318.70552,1
54,54930.00255,1
57,45024.54496,1
87,62551.16923,0
30,34381.10972,1
84,70602.62792,1
89,66047.39833,1
45,37584.62466,0
26,33858.41024,0
79,54420.44658,1
55,43192.73172,0
38,37264.32302,1
56,47305.49667,1
39,44924.53806,0
48,44868.86287,0
65,51380.96128,1
45,44784.41319,1
75,76240.70926,1
39,32764.10926,0
81,58466.66426,0
86,73082.13258,0
80,54507.89049,0
53,29790.38343,0
41,40771.15321,1
29,35110.36932,1
23,29882.45442,0
69,55204.70642,1
64,50447.68336,1
89,72941.67813,0
82,64962.22925,1
86,56135.30879,1
67,61990.09528,1
65,56053.01189,1
45,45507.66756,0
24,32042.38026,1
24,30579.62708,1
48,39371.16396,0
82,62713.28586,1
33,42703.08905,1
30,37817.02195,0
58,47526.6217,1
43,46253.63637,1
49,57716.51983,0
53,63524.7275,1
25,35374.29252,1
21,30178.44035,0
31,38906.70882,0
54,54830.61788,1
57,50064.63626,0
48,44899.36106,0
74,53253.4299,1
54,39528.9001,0
47,51402.65529,0
66,58237.44441,0
24,29668.19554,1
41,36002.75631,1
66,59188.16851,0
53,47486.83671,1
89,71412.59108,0
87,64340.8255,0
50,37740.89879,0
33,45585.3423,0
59,53495.92085,1
39,43027.89146,0
25,31401.7381,1
67,52712.99907,0
37,36597.8221,0
41,36577.77278,0
53,39323.4916,0
61,64599.93703,1
39,44494.22308,1
63,47942.55568,0
65,58036.50922,1
47,38184.22664,1
77,60767.94739,0
33,40719.30417,0
41,39547.42345,1
34,34043.87975,1
82,63121.32216,0
45,40456.32805,0
50,40754.74039,0
34,40288.01976,1
54,51042.99653,0
89,76611.51083,1
53,40734.83861,1
34,35911.20215,1
33,40215.96195,1
81,62619.90588,1
72,54447.03138,0
58,44051.79197,1
47,47069.56471,0
51,44914.07446,1
64,35705.40726,0
89,56660.44391,1
52,44773.81675,1
81,63359.96694,1
62,46437.35009,1
